,Date,Data
0,2016-01-1,84806139
1,2016-02-1,73381263
2,2016-03-1,72303447
3,2016-04-1,58447379
4,2016-05-1,60986416
5,2016-06-1,55981612
6,2016-07-1,59782258
7,2016-08-1,65810737
8,2016-09-1,60021722
9,2016-10-1,54446188
10,2016-11-1,50533137
11,2016-12-1,54354117
12,2017-01-1,57283361
13,2017-02-1,50306784
14,2017-03-1,71469074
15,2017-04-1,66102213
16,2017-05-1,81146385
17,2017-06-1,71395346
18,2017-07-1,62677236
19,2017-08-1,55219728
20,2017-09-1,53976560
21,2017-10-1,58947624
22,2017-11-1,50490493
23,2017-12-1,44752904
24,2018-01-1,45962923
25,2018-02-1,44761027
26,2018-03-1,49908705
27,2018-04-1,64265593
28,2018-05-1,131716829
29,2018-06-1,73794877
30,2018-07-1,96074496
31,2018-08-1,92520190
32,2018-09-1,106755993
33,2018-10-1,66945631
